,UMLS_CUI,synonyms,root
192,C0973461,"Dysphasia,Dysphasia,Dysphasia (finding)",Dysphasia
193,C0232491,"Chronic abdominal pain,Chronic abdominal pain (finding)",Chronic abdominal pain
194,C0149736,"Lump on neck,Mass of neck,Mass of neck (finding)",Mass of neck
195,C0028643,"Deadness - numbness,Loss of sensation,Numbness,Numbness (finding)",Numbness
196,C0869256,"Mixed incontinence,Mixed incontinence,Mixed incontinence (finding),Mixed urinary incontinence,Urge and stress incontinence",Mixed incontinence
197,C4317109,"Epileptic attack,Epileptic convulsion,Epileptic fit,Epileptic seizure,Epileptic seizure (finding)",Epileptic seizure
198,C0015732,"Bowel incontinence,Bowels: incontinent,Fecal incontinence,Fecal incontinence NOS,Incontinence of faeces,Incontinence of feces,Incontinence of feces (finding),Incontinent of faeces,Incontinent of feces,Involuntary stool",Incontinence of feces
199,C0149726,"Lung mass,Lung mass (finding)",Lung mass
200,C0748164,"Multiple nodules of lung,Multiple nodules of lung (finding),Multiple pulmonary nodules",Multiple nodules of lung
201,C0239589,"Finger pain,Pain in finger,Pain in finger (finding)",Pain in finger
202,C0424672,"BMI 25-29 - overweight,Body mass index 25-29 - overweight,Body mass index 25-29 - overweight (finding)",Body mass index 25-29 - overweight
203,C0683369,"Clouded consciousness,Clouded consciousness (finding),Confused,Confusion,Dazed,Dazed state,Dullness of senses,Muddled",Clouded consciousness
204,C0556390,"Multi-drug misuser,Poly-drug abuser,Poly-drug misuser,Poly-drug misuser (finding)",Poly-drug misuser
205,C0037317,"Disturbance in sleep behavior,Disturbance in sleep behavior (finding),Disturbance in sleep behaviour",Disturbance in sleep behavior
206,C3665386,"Abnormal vision,Abnormal vision (finding),Partial sight,Problem seeing,Problem sight",Abnormal vision
207,C0423682,"Mechanical low back pain,Mechanical low back pain (finding)",Mechanical low back pain
208,C0086769,"Panic attack,Panic attack,Panic attack (finding)",Panic attack
209,C0162296,"Arthralgia of multiple joints,Multiple joint pain,Multiple joint pain (finding),Polyarthralgia",Multiple joint pain
210,C0018965,"Blood in urine,Blood in urine (finding),Blood in urine - haematuria,Blood in urine - hematuria,Haematuria,Haematuria syndrome,Hematuria,Hematuria,Hematuria syndrome,Hematuria syndrome (disorder),Hematuria, unspecified",Blood in urine
211,C0423684,"Thoracic back pain,Thoracic back pain (finding)",Thoracic back pain
212,C1971624,"Anorexia,Anorexic,Loss of appetite,Loss of appetite (finding),No appetite,Off food",Loss of appetite
213,C0337681,"Narcotic drug user,Narcotic drug user (finding)",Narcotic drug user
214,C0030824,"Allergy to penicillin,Allergy to penicillin (disorder),Penicillin allergy",Allergy to penicillin
215,C0233315,"Premature birth of newborn,Premature birth of newborn (finding)",Premature birth of newborn
216,C0151526,"Premature childbirth,Premature delivery,Premature delivery (finding),Premature pregnancy delivered,Premature pregnancy delivered (finding)",Premature delivery
217,C0006266,"Bronchial spasm,Bronchospasm,Bronchospasm (finding)",Bronchospasm
218,C0282504,"Environmental allergy,Environmental allergy (disorder)",Environmental allergy
219,C0236000,"Jaw pain,Jaw pain,Jaw pain (finding),Pain of jaw",Jaw pain
220,C0004134,"Ataxia,Ataxia (finding),Ataxia (loss of muscle coordination),Ataxia, unspecified,Dyssynergia",Ataxia
221,C0520966,"Abnormal coordination,Coordination problem,Coordination problem (finding),Incoordination,Incoordination (finding),Lack of coordination,Unspecified lack of coordination",Coordination problem
222,C0262613,"Kidney mass,Renal mass,Renal mass (finding)",Renal mass
223,C0026858,"Musculoskeletal pain,Musculoskeletal pain (finding),Rheumatic pain",Musculoskeletal pain
224,C0860096,"First pregnancy,Previous pregnancy 1,Previous pregnancy 1 (finding),Primigravida,Primigravida (finding),Primip",Primigravida
225,C0232970,"Postmenopausal,Postmenopausal state,Postmenopausal state (finding)",Postmenopausal state
226,C0341863,"Epimenorrhagia,Excessive and frequent menstruation,Excessive and frequent menstruation (finding),Frequent heavy periods,Hyperpolymenorrhea,Hyperpolymenorrhoea,Polymenorrhagia",Excessive and frequent menstruation
227,C0237154,"Homeless,Homeless (finding),Housing lack,Housing lack (finding),Living on the street",Housing lack
228,C0237154,"Homeless,Homeless (finding),Housing lack,Housing lack (finding),Living on the street",Homeless
229,C0278008,"Altered bowel function,Altered bowel function (finding),Altered bowel habit,Altered bowel habits,Change in bowel habit,Change in bowel habit,Change in bowel pattern",Altered bowel function
230,C1291077,"Abdomen feels bloated,Abdominal bloating,Abdominal bloating (finding),Bloat,Bloated abdomen,Bloating,Bloating,Bloating symptom,Bloating symptom (finding),Meteorism",Abdominal bloating
231,C1268740,"At risk for falling,At risk for falls,At risk for falls (finding),At risk of falls,Fall risk",At risk for falls
232,C0159023,"Feeding difficulties in newborn,Feeding problem of newborn, unspecified,Feeding problems in newborn,Feeding problems in newborn (finding),Feeding problems of newborn",Feeding problems in newborn
233,C0039591,"Orchialgia,Orchidalgia,Orchidodynia,Pain in testicle,Pain in testicle (finding),Pain in testis,Pain of testes,Testicular pain",Pain in testicle
234,C0580702,"Transplant follow-up,Transplant follow-up (finding)",Transplant follow-up
235,C0013394,"Dyspareunia,Female coitalgia,Pain in female genitalia on intercourse,Pain in female genitalia on intercourse (finding)",Pain in female genitalia on intercourse
236,C0580546,"Abnormal glucose,Abnormal glucose NOS,Blood glucose abnormal,Blood glucose abnormal (finding)",Blood glucose abnormal
237,C2711680,"Serum cholesterol borderline high,Serum cholesterol borderline high (finding)",Serum cholesterol borderline high
238,C0037287,"Cutaneous nodule,Nodule of skin,Skin nodule,Skin nodule (finding)",Skin nodule
239,C0026821,"Cramp,Cramp (finding),Cramp in muscle,Muscle cramp,Muscle cramps",Cramp
240,C0262505,"Hepatitis B carrier,Hepatitis B carrier (finding)",Hepatitis B carrier
241,C0395016,"Speech problem,Speech problem (finding)",Speech problem
242,C1275854,"Regional lymph node involvement present,Regional lymph node metastasis present,Regional lymph node metastasis present (finding)",Regional lymph node metastasis present
243,C0232466,"Feeding difficulties,Feeding problem,Feeding problem (finding)",Feeding problem
244,C0026838,"Muscle spasm - tone,Muscle spasticity,Muscular spasticity,Spasticity,Spasticity,Spasticity (finding),Spasticity (qualifier value)",Spasticity
245,C2732402,"Type 1 diabetes mellitus uncontrolled,Type I diabetes mellitus poorly controlled,Type I diabetes mellitus uncontrolled,Type I diabetes mellitus uncontrolled (finding)",Type I diabetes mellitus uncontrolled
246,C0751410,"Muscle weakness of lower extremity,Paresis of lower extremity,Paresis of lower extremity (finding)",Paresis of lower extremity
247,C0425168,"Relational problem,Relationship problems,Relationship problems (finding)",Relationship problems
248,C3714625,"Neuropathic pain,Neuropathic pain (finding)",Neuropathic pain
249,C0235632,"Loin pain,Loin pain,Loin pain (finding)",Loin pain
250,C0577559,"Localised mass,Localized mass,Lump,Lump,Mass,Mass,Mass (morphologic abnormality),Mass of body structure,Mass of body structure (finding),Observation of a mass",Mass of body structure
251,C0152169,"Renal colic,Renal colic (finding),Unspecified renal colic,Ureteric colic,Ureteric colic (finding)",Renal colic
252,C0152169,"Renal colic,Renal colic (finding),Unspecified renal colic,Ureteric colic,Ureteric colic (finding)",Ureteric colic
253,C0006767,"Bony callus,Bony callus,Bony callus (morphologic abnormality),Callus of bone,Callus of bone (finding)",Callus of bone
254,C0013182,"Allergic drug reaction,Allergic reaction caused by drug,Allergic reaction caused by drug (disorder),Allergic reaction to drug,Allergic reaction to medication,Allergy to drug,Drug allergy,Drug allergy (disorder),Drug hypersensitivity NOS,Medication allergy,Medicine allergy",Allergy to drug
255,C0344221,"Coil contraception,Contraceptive IUD in situ,IUD - Intrauterine contraceptive device in situ,IUD contraception,Intrauterine contraceptive device in situ,Intrauterine contraceptive device in situ (finding),Intrauterine device (IUD) contraception,Intrauterine device contraception,Intrauterine device contraception (finding)",Intrauterine device contraception
256,C0232495,"Lower abdominal pain,Lower abdominal pain (finding),Lower abdominal pain, unspecified",Lower abdominal pain
257,C3714744,"Psychosexual dysfunction,Psychosexual dysfunction (finding)",Psychosexual dysfunction
258,C0220870,"Dizziness - light-headed,Feels light headed,Light-headedness,Light-headedness,Lightheaded,Lightheadedness,Lightheadedness (finding)",Lightheadedness
259,C0155533,"Subjective tinnitus,Subjective tinnitus (finding),Tinnitus aurium",Subjective tinnitus
260,C0239783,"Groin pain,Inguinal pain,Inguinal pain (finding)",Inguinal pain
261,C0423663,"Arthralgia of the pelvic region and thigh,Arthralgia of the pelvic region and thigh (finding)",Arthralgia of the pelvic region and thigh
262,C0029151,"Inhibition of ovulation,OC - Oral contraceptive,Oral contraception,Oral contraception (finding),Oral contraceptive,Pill - oral contraception",Oral contraception
263,C0042740,"Nonspecific syndrome suggestive of viral illness,Nonspecific syndrome suggestive of viral illness (finding),Viral syndrome",Nonspecific syndrome suggestive of viral illness
264,C0034886,"Pain in rectum,Proctalgia,Rectal pain,Rectal pain (finding),Rectalgia",Rectal pain
265,C0041674,"Out of work,U/E - Unemployed,UE - Unemployed,Unemployed,Unemployed (finding),Without employment",Unemployed
266,C4039208,"Digestive system reflux,Digestive system reflux (finding)",Digestive system reflux
267,C0583542,"Seen by paediatrician,Seen by pediatrician,Seen by pediatrician (finding)",Seen by pediatrician
268,C0344304,"General abdominal pain-symptom,Generalised abdominal pain,Generalized abdominal pain,Generalized abdominal pain,Generalized abdominal pain (finding)",Generalized abdominal pain
269,C4280951,"Swelling of bilateral lower limbs,Swelling of bilateral lower limbs (finding)",Swelling of bilateral lower limbs
270,C0426732,"Enlarged prostate,Enlarged prostate NOS,Large prostate,Large prostate (finding),Prostatomegaly,enlarged prostate",Large prostate
271,C0270139,"Fetal intrauterine distress first noted during labor AND/OR delivery in liveborn infant,Fetal intrauterine distress first noted during labor AND/OR delivery in liveborn infant (finding),Fetal intrauterine distress first noted during labour AND/OR delivery in liveborn infant,Foetal intrauterine distress first noted during labour AND/OR delivery in liveborn infant",Fetal intrauterine distress first noted during labor AND/OR delivery in liveborn infant
272,C0436485,"Radiology result abnormal,Radiology result abnormal (finding)",Radiology result abnormal
273,C0730345,"Microalbuminuria,Microalbuminuria (finding),Moderately increased albuminuria",Microalbuminuria
274,C0556278,"SEN - Special educational needs,Special educational needs,Special educational needs (finding)",Special educational needs
275,C0495786,"Abnormal findings on diagnostic imaging of lung,Abnormal findings on diagnostic imaging of lung,Abnormal findings on diagnostic imaging of lung (finding)",Abnormal findings on diagnostic imaging of lung
276,C0008033,"Pleural pain,Pleuralgia,Pleuritic pain,Pleuritic pain (finding),Pleurodynia,Pleurodynia,Pleurodynia NOS",Pleuritic pain
277,C0149973,"Intrauterine pregnancy,Intrauterine pregnancy (finding)",Intrauterine pregnancy
278,C0018524,"Hallucinations,Hallucinations (finding),Hallucinations, unspecified",Hallucinations
279,C0032617,"Increased urine output,Increased urine output (finding),Passes too much urine,Polyuria,Polyuria,Polyuria (finding),Polyuria NOS,Polyuric state,Polyuric state (disorder),Urine output high",Polyuria
280,C0159069,"Abnormal glucose tolerance test,Abnormal glucose tolerance test (finding),Impaired glucose tolerance test,Impaired glucose tolerance test (finding)",Abnormal glucose tolerance test
281,C0574946,"Hand joint active,Hand joint inflamed,Hand joint inflamed (finding)",Hand joint inflamed
282,C0000734,"Abdominal lump,Abdominal mass,Abdominal mass (finding)",Abdominal mass
283,C0231246,"Failure to gain weight,Failure to gain weight,Failure to gain weight (finding),Not gaining weight,Not putting on weight,Poor weight gain,Unable to gain weight",Failure to gain weight
284,C0024528,"Malaise and fatigue,Malaise and fatigue,Malaise and fatigue (finding)",Malaise and fatigue
285,C0004610,"Bacteraemia,Bacteremia,Bacteremia,Bacteremia (finding)",Bacteremia
286,C0025587,"Metatarsalgia,Metatarsalgia,Metatarsalgia (finding),Metatarsalgia, unspecified foot,Pain in ball of foot",Metatarsalgia
287,C0419530,"Contraception using injectable contraceptive medication,Depot contraception,Depot contraception (finding),Depot contraceptive",Depot contraception
288,C0013362,"Dysarthria,Dysarthria (finding)",Dysarthria
289,C0311394,"Difficulty walking,Difficulty walking (finding),Impaired walking,Walking disability,Walking disability (finding)",Walking disability
290,C0580555,"Prostate specific antigen abnormal,Prostate specific antigen abnormal (finding)",Prostate specific antigen abnormal
291,C0015970,"F.U.O.,Fever of unknown origin,Fever of unknown origin [FUO],PUO - Pyrexia of unknown origin,Pyrexia of unknown origin,Pyrexia of unknown origin (finding)",Pyrexia of unknown origin
292,C0016470,"Food allergy,Food allergy (disorder)",Allergy to food
293,C0425311,"Current non-smoker,Current non-smoker (finding)",Current non-smoker
294,C0586559,"Prostate mass,Prostate mass (finding)",Prostate mass
295,C0011124,"Decreased libido,Decreased sexual desire,Low libido,Reduced libido,Reduced libido (finding)",Reduced libido
296,C0149612,"Exercise ECG abnormal,Exercise ECG positive,Exercise tolerance test abnormal,Exercise tolerance test abnormal (finding),Positive exercise ECG test",Exercise tolerance test abnormal
297,C0028949,"Infrequent menstruation,Infrequent periods,Oligomenorrhea,Oligomenorrhea (finding),Oligomenorrhea, unspecified,Oligomenorrhoea,Relative amenorrhea,Relative amenorrhoea",Oligomenorrhea
298,C0003537,"Aphasia,Aphasia,Aphasia (finding),Aphasic disturbance,Loss of power of expression or comprehension",Aphasia
299,C0019080,"Bleeding,Bleeding,Bleeding (finding),Blood loss,Extravasation of blood,Haemorrhage,Haemorrhage,Hemorrhage,Hemorrhage,Hemorrhage (morphologic abnormality),Hemorrhage NOS",Bleeding
300,C0231780,"Heel pain,Heel pain (finding),Talalgia",Heel pain
301,C0684332,"Macrocytosis,Macrocytosis, red cells,Macrocytosis, red cells (finding)","Macrocytosis, red cells"
302,C0425293,"Never smoked,Never smoked tobacco,Never smoked tobacco (finding)",Never smoked tobacco
303,C0151811,"Nodule of subcutaneous tissue,Subcutaneous nodule,Subcutaneous nodule (finding)",Subcutaneous nodule
304,C0436503,"Standard chest X-ray abnormal,Standard chest X-ray abnormal (finding)",Standard chest X-ray abnormal
305,C0578026,"Abnormal weight,Abnormal weight (finding),Body weight problem,Body weight problem (finding)",Body weight problem
306,C0439032,"C/O - debility - malaise,Complaining of debility and malaise,Complaining of debility and malaise (finding)",Complaining of debility and malaise
307,C3203358,"Alveolar hypoventilation,Alveolar hypoventilation (finding),Hypoventilation,Hypoventilation (finding)",Alveolar hypoventilation
308,C0232488,"Abdominal colic,Abdominal colic (finding),Colic,Colic,Colic NOS,Colicky abdominal pain,Spasmodic abdominal pain",Abdominal colic
309,C0746935,"Noncompliance with medication regimen,Noncompliance with medication regimen (finding),Noncompliance: medication regimen",Noncompliance with medication regimen
310,C0423665,"Arthralgia of the hand,Hand joint pain,Hand joint pain (finding),Pain in joints of hand,Pain in joints of hand NOS",Hand joint pain
311,C0699815,"Feeding difficulties and mismanagement,Feeding difficulties and mismanagement (finding)",Feeding difficulties and mismanagement
312,C1879338,"Bereavement,Bereavement due to life event,Bereavement due to life event (finding),Bereavement reaction,Mourning",Bereavement due to life event
313,C0238552,"Left upper quadrant pain,Left upper quadrant pain,Left upper quadrant pain (finding)",Left upper quadrant pain
314,C0436539,"Computed tomography result abnormal,Computed tomography result abnormal (finding)",Computed tomography result abnormal
315,C0574068,"Rib pain,Rib pain (finding)",Rib pain
316,C0581118,"Ultrasound scan abnormal,Ultrasound scan abnormal (finding)",Ultrasound scan abnormal
317,C0013144,"Drowsiness,Drowsiness,Drowsiness, function,Drowsiness, function (observable entity),Drowsy,Drowsy (finding),Mental status, drowsy,Sleepiness,Sleepiness,Sleepy,Somnolence (sleepiness)",Drowsy
318,C0422304,"Administrative reason for encounter,Administrative reason for encounter (finding)",Administrative reason for encounter
319,C0151824,"Biliary colic,Biliary colic (finding),Biliary colic symptom,Gallbladder pain,Gallbladder pain (finding),Hepatic colic",Biliary colic
320,C0558368,"Vaginal irritation,Vaginal irritation (finding)",Vaginal irritation
321,C0007280,"Carotid bruit,Carotid bruit (finding)",Carotid bruit
322,C1455889,"Atypical squamous cells of undetermined significance on cervical Papanicolaou smear,Atypical squamous cells of undetermined significance on cervical Papanicolaou smear (finding)",Atypical squamous cells of undetermined significance on cervical Papanicolaou smear
323,C0476206,"Dizziness - giddy,Dizziness and giddiness,Dizziness and giddiness,Dizziness and giddiness (finding)",Dizziness and giddiness
324,C0423927,"Mild memory disturbance,Mild memory disturbance (finding)",Mild memory disturbance
325,C0421373,"Not up to date with immunisations,Not up to date with immunizations,Not up to date with immunizations (finding)",Not up to date with immunizations
326,C0574943,"Shoulder joint active,Shoulder joint inflamed,Shoulder joint inflamed (finding)",Shoulder joint inflamed
327,C0429910,"Mantoux: negative,Mantoux: negative (finding),Negative PPD",Mantoux: negative
328,C0425265,"Willing to be donor of kidney,Willing to be donor of kidney (finding)",Willing to be donor of kidney
329,C0404831,"Multigravida,Multigravida (finding),Multip",Multigravida
330,C0404734,"Abnormal glucose tolerance test during pregnancy - baby not yet delivered,Abnormal glucose tolerance test during pregnancy - baby not yet delivered (finding)",Abnormal glucose tolerance test during pregnancy - baby not yet delivered
331,C0015468,"Face ache,Face ache (finding),Facial pain,Facial pain NOS,Pain in face,Pain in face (finding),Pain of face",Pain in face
332,C1319898,"At risk of sexually transmitted infection,At risk of sexually transmitted infection (finding)",At risk of sexually transmitted infection
333,C0221776,"Oral cavity pain,Oral pain,Painful mouth,Painful mouth (finding)",Painful mouth
334,C0549622,"Abnormal sexual function,Abnormal sexual function (finding),Decreased sexual function,Decreased sexual function (finding),Impaired sexual function,Sexual disorder,Sexual disorder (disorder),Sexual dysfunction,Sexual dysfunction NOS,Sexual dysfunction, unspecified",Abnormal sexual function
335,C0460098,"Unwanted fertility,Unwanted fertility (finding)",Unwanted fertility
336,C0700613,"Anxiety state,Anxiety state,Anxiety state (finding)",Anxiety state
337,C0027796,"Neuralgia,Neuralgia (disorder)",Neuralgia
338,C0236075,"Menopausal symptom,Menopausal symptom (finding)",Menopausal symptom
339,C0259768,"Burst wound,Disruption of wound NOS,Disruption of wound, unspecified,Wound dehiscence,Wound dehiscence,Wound dehiscence (finding),Wound dehiscence (morphologic abnormality),Wound opened up,Wound reopened - observation,Wound rupture",Wound dehiscence
340,C0425512,"Sputum - symptom,Sputum - symptom (finding)",Sputum - symptom
341,C0578757,"Good neonatal condition at birth,Good neonatal condition at birth (finding),Healthy newborn",Good neonatal condition at birth
342,C0028081,"Night sweats,Night sweats,Night sweats (finding)",Night sweats
343,C0877425,"Mass of pancreas,Mass of pancreas (finding)",Mass of pancreas
344,C0232861,"Discharge from penis,Discharge from penis (finding),Penile discharge NOS",Discharge from penis
345,C0158369,"Swelling of limb,Swelling of limb (finding)",Swelling of limb
346,C0021167,"Incontinence,Incontinence (finding)",Incontinence
347,C0240802,"Pregnancy test positive,Pregnancy test positive (finding)",Pregnancy test positive
348,C0003578,"Apnea,Apnea (finding),Apnea NOS,Apneic,Apnoea,Apnoeic,Has stopped breathing,Not breathing,Stops breathing,Stops breathing (finding)",Apnea
349,C0574950,"Hip joint active,Hip joint inflamed,Hip joint inflamed (finding)",Hip joint inflamed
350,C0022107,"Feeling irritable,Feeling irritable (finding),Fussiness,Irritability",Feeling irritable
351,C0581869,"Abdominal wall pain,Abdominal wall pain (finding)",Abdominal wall pain
352,C1272587,"Stented coronary artery,Stented coronary artery (finding)",Stented coronary artery
353,C0476346,"Faeces contents abnormal,Feces contents abnormal,Feces contents abnormal (finding),Stool contents abnormal",Feces contents abnormal
354,C0700225,"Serum creatinine raised,Serum creatinine raised (finding)",Serum creatinine raised
355,C0013491,"Ecchymoses,Ecchymosis,Ecchymosis,Ecchymosis (finding),Ecchymosis (morphologic abnormality)",Ecchymosis
356,C0476241,"Delayed developmental milestone,Delayed milestone,Delayed milestone (finding)",Delayed milestone
357,C0474481,"Failure to progress in second stage of labor,Failure to progress in second stage of labor (finding),Failure to progress in second stage of labour,No progress in second stage of labor,No progress in second stage of labour,No progress with delivery",Failure to progress in second stage of labor
358,C0235439,"Ankle edema,Ankle edema (finding),Ankle oedema,Ankle swelling,Swollen ankle,Swollen ankle (finding),Swollen ankle - edema,Swollen ankle - oedema,Swollen ankle region",Ankle edema
359,C4551754,"Rh negative,RhD negative,RhD negative (finding),Rhesus negative",RhD negative
360,C0476414,"Abnormal results of thyroid function studies,Thyroid function tests abnormal,Thyroid function tests abnormal (finding)",Thyroid function tests abnormal
361,C0233403,"Physically well but worried,Psyche disturbed with normal general body function,Worried well,Worried well (finding)",Worried well
362,C2317516,"Carrier of vancomycin resistant enterococcus,Carrier of vancomycin resistant enterococcus (finding)",Carrier of vancomycin resistant enterococcus
363,C0457950,"Acute back pain - lumbar,Acute low back pain,Acute low back pain (finding)",Acute low back pain
364,C0012818,"Asymptomatic diverticulosis of sigmoid colon,Diverticulosis of sigmoid,Diverticulosis of sigmoid colon,Diverticulosis of sigmoid colon (finding)",Diverticulosis of sigmoid colon
365,C0034359,"Pus cells in urine,Pus cells in urine (finding),Pyuria,Pyuria (finding)",Pyuria
366,C0566991,"No flow of amniotc liquor,No liquor observed vaginally,No liquor observed vaginally (finding)",No liquor observed vaginally
367,C0456673,"Sputum retention,Sputum retention (finding)",Sputum retention
368,C0151480,"Anti-nuclear antibody positive,Anti-nuclear factor positive,Anti-nuclear factor positive (finding),Antinuclear factor, positive",Anti-nuclear factor positive
369,C0240225,"Liver mass,Liver mass (finding)",Liver mass
370,C0337616,"Educational problem,Educational problem (finding)",Educational problem
371,C0000731,"Abdomen distended,Abdominal distention,Abdominal swelling,Swelling of abdomen,Swollen abdomen,Swollen abdomen (finding)",Swollen abdomen
372,C0000731,"Abdomen distended,Abdominal distention,Abdominal swelling,Swelling of abdomen,Swollen abdomen,Swollen abdomen (finding)",Abdominal distension
373,C0518456,"Impaired mobility,Impaired mobility (finding),Physical mobility impairment",Impaired mobility
374,C0404484,"Chronic pain in female pelvis,Chronic pain in female pelvis (finding),Chronic pelvic pain of female",Chronic pain in female pelvis
375,C1319851,"Magnetic resonance imaging of brain abnormal,Magnetic resonance imaging of brain abnormal (finding)",Magnetic resonance imaging of brain abnormal
376,C0587246,"Loss of power in limb,Muscle weakness of limb,Muscle weakness of limb (finding)",Muscle weakness of limb
377,C0587246,"Loss of power in limb,Muscle weakness of limb,Muscle weakness of limb (finding)",Weakness of limb
378,C0037195,"Sinus headache,Sinus headache (finding)",Sinus headache
379,C0520863,"Diastolic dysfunction,Diastolic dysfunction (finding)",Diastolic dysfunction
380,C1261242,"High risk sexual behavior,High risk sexual behavior (finding),High risk sexual behaviour,Unsafe sexual practices",High risk sexual behavior
381,C0232487,"Abdominal discomfort,Abdominal discomfort (finding)",Abdominal discomfort
382,C0027429,"NO - Nasal obstruction,Nasal airway obstruction,Nasal obstruction,Nasal obstruction (finding),Nasal obstruction present,Nasal obstruction present,Nasal obstruction present (situation)",Nasal obstruction
383,C0476273,"Distressed breathing,Respiratory distress,Respiratory distress (finding)",Respiratory distress
384,C2919577,"Male urinary stress incontinence,Male urinary stress incontinence (finding)",Male urinary stress incontinence
385,C0420968,"Rubella status not known,Rubella status not known (finding)",Rubella status not known
386,C0158322,"Calcaneal spur,Calcaneal spur,Calcaneal spur (disorder),Calcaneal spur, unspecified foot",Calcaneal spur
387,C0085684,"Dropfoot,FD - Foot-drop,Foot-drop,Foot-drop (finding),Footdrop",Foot-drop
388,C0438258,"Abnormal finding of blood chemistry, unspecified,Blood chemistry abnormal,Blood chemistry abnormal (finding)",Blood chemistry abnormal
389,C0231218,"Does not feel right,Feeling ill,Feels off-color,Feels off-colour,Feels poorly,Feels unwell,General feeling of illness,Generally unwell,Generally unwell (finding),Ill-defined experience,Malaise,Malaise (finding),Malaise NOS,Not feeling great,Not feeling well,Undifferentiated illness: Vague ill health,Undifferentiated illness: Vague ill health (finding),Vague bodily discomfort,Vague ill health",Malaise
390,C0481457,"Single live birth,Single live birth (finding)",Single live birth
391,C0425310,"Stopped smoking,Stopped smoking (finding)",Stopped smoking
392,C2240374,"Eosinophil count raised,Eosinophil count raised (finding),Eosinophilia",Eosinophil count raised
393,C2240374,"Eosinophil count raised,Eosinophil count raised (finding),Eosinophilia",Increased blood eosinophil number
394,C1384666,"Decreased hearing,Decreased hearing (finding),Difficulty hearing,HI - Hearing impairment,HL - Hearing loss,HOH - Hard of hearing,Hard of hearing,Hearing impaired,Hearing impairment,Hearing loss,Hearing loss (disorder),Hypoacusis,Impaired hearing,Unspecified hearing loss",Decreased hearing
395,C0233214,"Low maternal weight gain,Low maternal weight gain (finding),Low weight gain in pregnancy,Low weight gain in pregnancy, unspecified trimester",Low maternal weight gain
396,C0555056,"Bloodstained sputum,Bloodstained sputum (finding),Expectoration of blood tinged sputum",Bloodstained sputum
397,C0423798,"Bruises easily,Does bruise easily,Does bruise easily (situation),Easy bruising,Easy bruising (finding),Increased tendency to bruise",Easy bruising
398,C0458990,"Recurrent falls,Recurrent falls (finding)",Recurrent falls
399,C0036454,"Scotoma NOS,Visual field scotoma,Visual field scotoma (finding)",Visual field scotoma
400,C0009193,"Coccyalgia,Coccydynia,Coccygalgia,Coccygodynia,Coccyodynia,Pain in the coccyx,Pain in the coccyx (finding)",Pain in the coccyx
401,C0042018,"Urinary calculus,Urinary calculus, unspecified,Urinary stone,Urolith,Urolith (finding)",Urolith
402,C0026751,"Multiparous,Multiparous (finding)",Multiparous
403,C0427792,"Amniotic fluid - bloodstained,Amniotic fluid - bloodstained (finding),Bloodstained amniotic fluid,Bloodstained liquor,Bloodstained liquor (finding)",Bloodstained liquor
404,C0575002,"Active range of joint movement reduced,Active range of joint movement reduced (finding)",Active range of joint movement reduced
405,C0027066,"Myoclonia,Myoclonus,Myoclonus,Myoclonus (finding)",Myoclonus
406,C0342500,"Adrenal mass,Mass of adrenal gland,Mass of adrenal gland (finding)",Mass of adrenal gland
407,C0575624,"Shoulder joint instability,Shoulder joint unstable,Shoulder joint unstable (finding)",Shoulder joint unstable
408,C0006318,"Bruit,Bruit (finding)",Bruit
409,C0241353,"Lump in testis,Mass of testicle,Mass of testicle (finding),Mass of testis,Testicular lump,Testicular mass",Mass of testicle
410,C0419373,"Livebirth,Livebirth (finding)",Livebirth
411,C0424531,"Bad turn,Funny spell,Funny turn,Funny turn (finding)",Funny turn
412,C0021294,"Premature infant,Premature infant (finding),Prematurity NOS",Premature infant
413,C0237236,"Sexual assault,Sexual assault,Sexual assault (event),Sexual assault (finding)",Sexual assault
414,C0239836,"Paraesthesia of hand,Paresthesia of hand,Paresthesia of hand (finding)",Paresthesia of hand
415,C0677061,"Pain in thoracic spine,Pain in thoracic spine,Pain in thoracic spine (finding)",Pain in thoracic spine
416,C0344232,"Blurring of visual image,Blurring of visual image (finding),Cloudy vision,Foggy vision,Hazy vision,Hazy vision (disorder),Mist over eyes,Misty vision",Blurring of visual image
417,C2919187,"Periodic leg movements of sleep,Periodic leg movements of sleep (finding)",Periodic leg movements of sleep
418,C0458232,"Arthralgia of sacroiliac joint,Sacroiliac joint pain,Sacroiliac joint pain (finding)",Sacroiliac joint pain
419,C0035317,"Retinal haemorrhage,Retinal haemorrhages,Retinal hemorrhage,Retinal hemorrhage,Retinal hemorrhage (finding),Retinal hemorrhage, unspecified eye,Retinal hemorrhages",Retinal hemorrhage
420,C0232255,"Functional cardiac murmur,Functional cardiac murmur,Functional flow murmur,Functional heart murmur,Functional heart murmur (finding)",Functional heart murmur
421,C0582147,"At risk for infection,At risk for infection (finding),Potential for infection",At risk for infection
422,C0581896,"Child relationship problem,Child relationship problem (finding)",Child relationship problem
423,C0474298,"Up-to-date with immunisations,Up-to-date with immunizations,Up-to-date with immunizations (finding)",Up-to-date with immunizations
424,C0025329,"Normal menstrual cycle,Normal menstrual cycle (finding)",Normal menstrual cycle
425,C0349453,"Mass of thyroid gland,Mass of thyroid gland (finding),Thyroid lump,Thyroid mass",Mass of thyroid gland
