,UMLS_CUI,synonyms,root
126,C0155732,"Late effects of cerebrovascular disease,Late effects of cerebrovascular disease (disorder),Sequelae of cerebrovascular disease,Sequelae of cerebrovascular disease",Late effects of cerebrovascular disease
127,C0017160,"GE - Gastroenteritis,Gastroenteritis,Gastroenteritis (disorder),Gastroenteritis NOS",Gastroenteritis
128,C0034065,"PE - Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism (disorder),Pulmonary embolism NOS",Pulmonary embolism
129,C0019294,"IH - Inguinal hernia,Inguinal hernia,Inguinal hernia,Inguinal hernia (disorder),Inguinal hernia NOS,inguinal hernia NOS",Inguinal hernia
130,C0043037,"Common wart,Common wart,Human papilloma virus infection of skin,Infectious warts,Verruca,Verruca (morphologic abnormality),Verruca simplex,Verruca vulgaris,Verruca vulgaris (disorder),Verrucous skin lesion,Viral wart,Viral warts,Viral warts,Viral warts due to papilloma virus,verruca simplex,verruca vulgaris,viral warts due to human papillomavirus",Verruca vulgaris
131,C0243026,"Sepsis,Sepsis (disorder),Systemic infection",Sepsis
132,C0011881,"Diabetic nephropathy,Diabetic renal disease,Disorder of kidney co-occurrent and due to diabetes mellitus,Disorder of kidney co-occurrent and due to diabetes mellitus (disorder),Kidney disorder due to diabetes mellitus,Renal disorder associated with diabetes mellitus",Disorder of kidney co-occurrent and due to diabetes mellitus
133,C0027498,"N&V - Nausea and vomiting,N+V - Nausea and vomiting,Nausea and vomiting,Nausea and vomiting,Nausea and vomiting (disorder),Nausea with vomiting, unspecified",Nausea and vomiting
134,C0020550,"Hyperthyroidism,Hyperthyroidism (disorder),Hyperthyroidism NOS",Hyperthyroidism
135,C0000833,"Abscess,Abscess,Abscess (disorder),Abscess (morphologic abnormality),Abscess morphology",Abscess
136,C0011334,"Carious lesion,Dental caries,Dental caries,Dental caries (disorder),Dental caries, unspecified,Dental cavity,Dental decay,Teeth decayed,Tooth caries,Tooth decay,Tooth decayed,dental cavities,tooth decay",Dental caries
137,C0017181,"GI - Gastrointestinal bleed,GI - Gastrointestinal haemorrhage,GI - Gastrointestinal hemorrhage,GI bleeding,GI haemorrhage,GI hemorrhage,GIH - Gastrointestinal haemorrhage,GIH - Gastrointestinal hemorrhage,GIT - Gastrointestinal tract haemorrhage,GIT - Gastrointestinal tract hemorrhage,Gastrointestinal bleed,Gastrointestinal bleeding,Gastrointestinal haemorrhage,Gastrointestinal hemorrhage,Gastrointestinal hemorrhage (disorder),Gastrointestinal hemorrhage, unspecified",Gastrointestinal hemorrhage
138,C0035854,"Acne erythematosa,Acne rosacea,Rosacea,Rosacea,Rosacea (disorder),Rosacea, unspecified",Rosacea
139,C0030567,"Idiopathic Parkinson's disease,Idiopathic Parkinsonism,PD - Parkinson's disease,Paralysis agitans,Paralysis agitans,Parkinson disease,Parkinson's disease,Parkinson's disease,Parkinson's disease (disorder),Parkinsons disease,Primary Parkinsonism,Shaking palsy",Parkinson's disease
140,C0242379,"CA - Lung cancer,Malignant tumor of lung,Malignant tumor of lung (disorder),Malignant tumour of lung",Malignant tumor of lung
141,C0028756,"Morbid obesity,Morbid obesity (disorder),Severe obesity,Severe obesity (disorder)",Morbid obesity
142,C1299633,"Reactive airways dysfunction syndrome,Reactive airways dysfunction syndrome,Reactive airways dysfunction syndrome (disorder)",Reactive airways dysfunction syndrome
143,C3489393,"Esophageal hiatal hernia,Esophageal hiatus hernia,HH - Hiatus hernia,Hiatal hernia,Hiatal hernia (disorder),Hiatus hernia,Oesophageal hiatal hernia,Oesophageal hiatus hernia",Hiatal hernia
144,C0035258,"Restless legs,Restless legs (disorder),Restless legs syndrome,Restless legs syndrome,Willis-Ekbom disease",Restless legs
145,C0040034,"Thrombocytopenia,Thrombocytopenia, unspecified,Thrombocytopenic disorder,Thrombocytopenic disorder (disorder)",Thrombocytopenic disorder
146,C0155668,"Healed coronary,Healed myocardial infarction,Healed myocardial infarction,Old myocardial infarction,Old myocardial infarction,Old myocardial infarction (disorder)",Old myocardial infarction
147,C0878544,"Cardiomyopathy,Cardiomyopathy,Cardiomyopathy (disorder),Cardiomyopathy, unspecified,Disorder of heart muscle,Disorder of myocardium,Myocardial disease,Myocardial disease,Myocardial disease (disorder),Myocardiopathy,myocardiopathy",Cardiomyopathy
148,C0442874,"Neuropathy,Neuropathy (disorder),Neuropathy (nerve damage),Neuropathy NOS",Neuropathy
149,C0263912,"Rotator cuff rupture,Rotator cuff syndrome,Rotator cuff syndrome,Rotator cuff syndrome (disorder),Rotator cuff tear,Rupture of rotator cuff of shoulder",Rotator cuff syndrome
150,C0011615,"AD - Atopic dermatitis,Allergic dermatitis,Allergic eczema,Atopic dermatitis,Atopic dermatitis,Atopic dermatitis (disorder),Atopic dermatitis, unspecified,Atopic eczema,Atopic neurodermatitis,Atopic neurodermatitis,Atopic neurodermatitis (disorder),Disseminated neurodermatitis",Atopic dermatitis
151,C0011616,"CD - Contact dermatitis,Contact dermatitis,Contact dermatitis (disorder),Contact eczema,Dermatitis venenata,Unspecified contact dermatitis,Unspecified contact dermatitis, unspecified cause",Contact dermatitis
152,C0028043,"Nicotine dependence,Nicotine dependence,Nicotine dependence,Nicotine dependence (disorder),Nicotine dependence, unspecified",Nicotine dependence
153,C0160087,"Ankle sprain,Sprain of ankle,Sprain of ankle,Sprain of ankle (disorder),Sprain of ankle NOS,Sprain of ankle joint,Sprain of ligament of ankle joint,Sprained ankle NOS",Sprain of ankle
154,C0349790,"Exacerbation of asthma,Exacerbation of asthma (disorder)",Exacerbation of asthma
155,C0678222,"CA - Carcinoma of breast,Carcinoma of breast,Carcinoma of breast (disorder)",Carcinoma of breast
156,C0024437,"Degenerative disorder of macula,Degenerative disorder of macula (disorder)",Degenerative disorder of macula
157,C0001973,"Alcohol dependence,Alcohol dependence,Alcohol dependence (disorder),Alcohol dependence syndrome,Alcohol problem drinking,Alcoholism,Alcoholism (disorder),Chronic alcohol abuse,Chronic alcoholism,Dipsomania,Persistent alcohol abuse,Persistent alcohol abuse (disorder)",Alcohol dependence
158,C0001973,"Alcohol dependence,Alcohol dependence,Alcohol dependence (disorder),Alcohol dependence syndrome,Alcohol problem drinking,Alcoholism,Alcoholism (disorder),Chronic alcohol abuse,Chronic alcoholism,Dipsomania,Persistent alcohol abuse,Persistent alcohol abuse (disorder)",Alcoholism
159,C0001973,"Alcohol dependence,Alcohol dependence,Alcohol dependence (disorder),Alcohol dependence syndrome,Alcohol problem drinking,Alcoholism,Alcoholism (disorder),Chronic alcohol abuse,Chronic alcoholism,Dipsomania,Persistent alcohol abuse,Persistent alcohol abuse (disorder)",Persistent alcohol abuse
160,C0020621,"Hypokalaemia,Hypokalaemic syndrome,Hypokalemia,Hypokalemia,Hypokalemia (disorder),Hypokalemic syndrome,Hypopotassaemia,Hypopotassaemia syndrome,Hypopotassemia,Hypopotassemia syndrome,Low serum potassium level,Low serum potassium level (finding),Low serum potassium level - finding,Potassium [K] deficiency",Hypokalemia
161,C0026266,"MI - Mitral incompetence,MR - Mitral regurgitation,Mitral insufficiency,Mitral regurgitation,Mitral valve incompetence,Mitral valve insufficiency,Mitral valve regurgitation,Mitral valve regurgitation (disorder)",Mitral valve regurgitation
162,C0020625,"Hyponatraemia,Hyponatremia,Hyponatremia (disorder),Sodium [Na] deficiency",Hyponatremia
163,C0162871,"AAA - Abdominal aortic aneurysm,Abdominal aortic aneurysm,Abdominal aortic aneurysm (disorder)",Abdominal aortic aneurysm
164,C0037284,"Skin lesion,Skin lesion (disorder)",Skin lesion
165,C0029927,"Cyst of ovary,Cyst of ovary (disorder),Ovarian cyst,Ovarian cyst, NOS,Ovarian cystic mass,Unspecified ovarian cysts",Cyst of ovary
166,C0029878,"Inflammation of ear canal,OE - Otitis externa,Otitis externa,Otitis externa,Otitis externa (disorder),Unspecified otitis externa,Unspecified otitis externa, unspecified ear",Otitis externa
167,C0000821,"Threatened abortion,Threatened abortion,Threatened abortion (antepartum),Threatened abortion (disorder),Threatened miscarriage",Threatened abortion
168,C0036439,"Scoliosis,Scoliosis,Scoliosis deformity of spine,Scoliosis deformity of spine (disorder),Scoliosis, unspecified",Scoliosis deformity of spine
169,C0040137,"Thyroid nodule,Thyroid nodule (disorder)",Thyroid nodule
170,C0037944,"SS - Spinal stenosis,Spinal stenosis,Spinal stenosis,Spinal stenosis (disorder),Spinal stenosis, site unspecified",Spinal stenosis
171,C0013390,"Dysmenorrhea,Dysmenorrhea (disorder),Dysmenorrhea, unspecified,Dysmenorrhoea,Menorrhalgia,Menstrual cramp,Menstrual cramp (finding),Menstrual cramps,Painful menstruation,Period pain,Period pain,Period pain present,Period pain present (finding)",Dysmenorrhea
172,C0036508,"SBD - Seborrheic dermatitis,SBD - Seborrhoeic dermatitis,Seborrhea,Seborrhea (disorder),Seborrhea NOS,Seborrheic dermatitis,Seborrheic dermatitis,Seborrheic dermatitis (disorder),Seborrheic dermatitis, unspecified,Seborrheic eczema,Seborrhoea,Seborrhoeic dermatitis,Seborrhoeic eczema",Seborrheic dermatitis
173,C0036508,"SBD - Seborrheic dermatitis,SBD - Seborrhoeic dermatitis,Seborrhea,Seborrhea (disorder),Seborrhea NOS,Seborrheic dermatitis,Seborrheic dermatitis,Seborrheic dermatitis (disorder),Seborrheic dermatitis, unspecified,Seborrheic eczema,Seborrhoea,Seborrhoeic dermatitis,Seborrhoeic eczema",Seborrhea
174,C0271429,"AOM - Acute otitis media,Acute otitis media,Acute otitis media (disorder),Acute otitis media NOS",Acute otitis media
175,C0002395,"AD - Alzheimer's disease,Alzheimer dementia,Alzheimer disease,Alzheimer's disease,Alzheimer's disease,Alzheimer's disease (disorder),Alzheimer's disease, unspecified",Alzheimer's disease
176,C0011882,"Diabetes mellitus with neuropathy,Diabetic neuropathy,Neuropathy co-occurrent and due to diabetes mellitus,Neuropathy co-occurrent and due to diabetes mellitus (disorder)",Neuropathy co-occurrent and due to diabetes mellitus
177,C0001344,"Acute pharyngitis,Acute pharyngitis,Acute pharyngitis (disorder),Acute pharyngitis, unspecified,Pharyngitis (acute) NOS",Acute pharyngitis
178,C0158266,"Degeneration of intervertebral disc,Degeneration of intervertebral disc (disorder),Degenerative disc disease,Intervertebral disc degeneration",Degeneration of intervertebral disc
179,C0339002,"ADD - Attention deficit disorder,ADD - Attention deficit disorder without hyperactivity,Attention deficit disorder,Attention deficit disorder without hyperactivity,Attention deficit hyperactivity disorder, predominantly inattentive type,Attention deficit hyperactivity disorder, predominantly inattentive type (disorder),Attention deficit without hyperactivity,Attention-deficit hyperactivity disorder, predominantly inattentive type","Attention deficit hyperactivity disorder, predominantly inattentive type"
180,C0156309,"Impotence of organic origin,Impotence of organic origin (disorder),Organic erectile dysfunction",Impotence of organic origin
181,C0158288,"Lumbar spinal stenosis,Spinal stenosis of lumbar region,Spinal stenosis of lumbar region (disorder),Spinal stenosis, lumbar region,Spinal stenosis, lumbar region NOS",Spinal stenosis of lumbar region
182,C0042109,"Hive,Hives,Urticaria,Urticaria,Urticaria,Urticaria (disorder),Urticaria (morphologic abnormality),Urticaria, unspecified,Urticarial rash",Urticaria
183,C0019342,"Genital herpes simplex,Genital herpes simplex (disorder),Herpes genitalis",Genital herpes simplex
184,C0235653,"Cancer of female breast,Female breast cancer,Malignant neoplasm of female breast,Malignant neoplasm of female breast (disorder)",Malignant neoplasm of female breast
185,C0008711,"Chronic rhinitis,Chronic rhinitis,Chronic rhinitis (disorder),Rhinitis (chronic) NOS",Chronic rhinitis
186,C0026769,"DS - Disseminated sclerosis,Disseminated sclerosis,Generalised multiple sclerosis,Generalized multiple sclerosis,Generalized multiple sclerosis,Generalized multiple sclerosis (disorder),MS - Multiple sclerosis,Multiple sclerosis,Multiple sclerosis,Multiple sclerosis (disorder),Multiple sclerosis NOS",Multiple sclerosis
187,C2316787,"CKD stage 3,Chronic kidney disease stage 3,Chronic kidney disease stage 3 (disorder)",Chronic kidney disease stage 3
188,C0030319,"Episodic paroxysmal anxiety disorder,Panic disorder,Panic disorder (disorder),Panic disorder [episodic paroxysmal anxiety]",Panic disorder
189,C1263846,"ADHD - Attention deficit disorder with hyperactivity,Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder (disorder),Attention deficit hyperactivity disorder, hyperactive impulsive type,Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type,Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type (disorder),Attention deficit hyperkinetic disorder,Attention-deficit hyperactivity disorder NOS,Attention-deficit hyperactivity disorders,Hyperkinetic disorder,Hyperkinetic syndrome,Overactive child syndrome,attention deficit disorder with hyperactivity,attention deficit syndrome with hyperactivity",Attention deficit hyperactivity disorder
190,C0020474,"Familial combined hyperlipidaemia,Familial combined hyperlipidemia,Familial combined hyperlipidemia,Familial combined hyperlipidemia (disorder),Familial multiple lipoprotein-type hyperlipidaemia,Familial multiple lipoprotein-type hyperlipidemia,Familial multiple lipoprotein-type hyperlipidemia (disorder)",Familial combined hyperlipidemia
191,C0042847,"Cobalamin deficiency,Cobalamin deficiency (disorder),Cyanocobalamin deficiency,Deficiency of vitamin B12,Deficiency of vitamin B<sub>12</sub>,Deficiency of vitamin B>12<,Vitamin B12 deficiency,Vitamin B12 deficiency",Cobalamin deficiency
192,C0080274,"Bladder retention of urine,Bladder retention of urine (observable entity),Cannot pass urine - retention,Not passing urine,Retention of urine,Retention of urine,Retention of urine (disorder),Retention of urine, unspecified,Unable to empty bladder,Unable to pass urine,Unable to pass urine,Unable to void urine,Unable to void urine (finding),Urinary retention,Urinary retention",Retention of urine
193,C0024305,"Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma,Malignant lymphoma, cleaved cell [obs],Malignant lymphoma, non-Hodgkin,Malignant lymphoma, non-Hodgkin's,Malignant lymphoma, non-Hodgkin's type,Malignant lymphoma, small cell, noncleaved, diffuse [obs],Malignant lymphoma, small cleaved cell [obs],Malignant lymphoma, small cleaved cell, diffuse [obs],Malignant lymphoma, undifferentiated cell type [obs],Malignant lymphoma, undifferentiated cell, non-Burkitt [obs],NHL - Non-Hodgkin's lymphoma,Non-Hodgkin lymphoma,Non-Hodgkin lymphoma (category),Non-Hodgkin lymphoma - category,Non-Hodgkin lymphoma - category (morphologic abnormality),Non-Hodgkin lymphoma NOS,Non-Hodgkin lymphoma, no ICD-O subtype,Non-Hodgkin lymphoma, no International Classification of Diseases for Oncology subtype,Non-Hodgkin lymphoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality),Non-Hodgkin's lymphoma,Non-Hodgkin's lymphoma,Non-Hodgkin's lymphoma (clinical),Non-Hodgkin's lymphoma (disorder),Non-Hodgkin's lymphoma - disorder",Non-Hodgkin's lymphoma
194,C0270549,"GAD - Generalised anxiety disorder,GAD - Generalized anxiety disorder,Generalised anxiety disorder,Generalized anxiety disorder,Generalized anxiety disorder,Generalized anxiety disorder (disorder)",Generalized anxiety disorder
195,C0235480,"AF - Paroxysmal atrial fibrillation,Intermittent atrial fibrillation,PAF - Paroxysmal atrial fibrillation,Paroxysmal atrial fibrillation,Paroxysmal atrial fibrillation,Paroxysmal atrial fibrillation (disorder)",Paroxysmal atrial fibrillation
196,C0042485,"Peripheral venous insufficiency,Peripheral venous insufficiency (disorder)",Peripheral venous insufficiency
197,C0004606,"BDR - Background diabetic retinopathy,Background diabetic retinopathy,NPDR - Non proliferative diabetic retinopathy,Non proliferative diabetic retinopathy,Nonproliferative diabetic retinopathy,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder)",Nonproliferative retinopathy co-occurrent and due to diabetes mellitus
198,C0154411,"Major depressive disorder, recurrent, moderate,Moderate recurrent major depression,Moderate recurrent major depression (disorder)",Moderate recurrent major depression
199,C0012813,"Diverticulitis,Diverticulitis,Diverticulitis (disorder),Diverticulitis (morphologic abnormality)",Diverticulitis
200,C0020461,"Hyperkalaemia,Hyperkalaemic syndrome,Hyperkalemia,Hyperkalemia,Hyperkalemia (disorder),Hyperkalemic syndrome,Hyperpotassaemia,Hyperpotassemia,K excess,K overload,Potassium [K] excess,Potassium [K] overload,Potassium excess,Potassium overload,Potassium overload (disorder),Raised serum potassium level,Raised serum potassium level (finding)",Hyperkalemia
201,C0154409,"Major depressive disorder, recurrent,Major depressive disorder, recurrent, unspecified,Recurrent major depression,Recurrent major depression (disorder),Recurrent major depressive disorder,Recurrent major depressive episodes,Recurrent major depressive episodes (disorder),recurrent episodes of major depression",Recurrent major depressive episodes
202,C0154409,"Major depressive disorder, recurrent,Major depressive disorder, recurrent, unspecified,Recurrent major depression,Recurrent major depression (disorder),Recurrent major depressive disorder,Recurrent major depressive episodes,Recurrent major depressive episodes (disorder),recurrent episodes of major depression",Recurrent major depression
203,C0026764,"Kahler's disease,Kahler's disease,Multiple myeloma,Multiple myeloma,Multiple myeloma,Multiple myeloma (clinical),Multiple myeloma (disorder),Multiple myeloma NOS,Multiple myeloma, no ICD-O subtype,Multiple myeloma, no International Classification of Diseases for Oncology subtype,Multiple myeloma, no International Classification of Diseases for Oncology subtype (morphologic abnormality),Myeloma,Myeloma,Myelomatosis,Myelomatosis,Myelomatosis,Plasma cell myeloma,Plasma cell myeloma,Plasmacytic myeloma",Multiple myeloma
204,C0152193,"Regular astigmatism,Regular astigmatism,Regular astigmatism (disorder)",Regular astigmatism
205,C0494165,"Cancer metastatic to liver,Hepatic metastasis,Liver secondaries,Liver secondary cancer,Metastasis to liver,Metastatic malignant neoplasm to liver,Secondary malignancy of liver,Secondary malignant neoplasm of liver,Secondary malignant neoplasm of liver (disorder)",Secondary malignant neoplasm of liver
206,C0009324,"Colitis gravis,Idiopathic proctocolitis,UC - Ulcerative colitis,Ulcerative colitis,Ulcerative colitis,Ulcerative colitis (disorder),Ulcerative colitis, unspecified",Ulcerative colitis
207,C0042267,"Inflammation of vagina,Vaginitis,Vaginitis (disorder)",Vaginitis
208,C0022660,"ARF - Acute renal failure,Acute kidney failure,Acute kidney failure, unspecified,Acute renal failure,Acute renal failure syndrome,Acute renal failure syndrome (disorder)",Acute renal failure syndrome
209,C0039503,"Inflammatory disorder of tendon,Tendinitis,Tendinitis (disorder),Tendinitis NOS,Tendonitis",Tendinitis
210,C0035455,"Rhinitis,Rhinitis (disorder)",Rhinitis
211,C0338908,"Anxiety depression,Mixed anxiety and depressive disorder,Mixed anxiety and depressive disorder,Mixed anxiety and depressive disorder (disorder)",Mixed anxiety and depressive disorder
212,C0010346,"CD - Crohn's disease,Crohn disease,Crohn's disease,Crohn's disease (disorder),Crohn's disease NOS,Crohn's disease [regional enteritis],Crohn's disease, unspecified,Crohn's regional enteritis,Crohns disease,Granulomatous enteritis,RE - regional enteritis,Regional enteritis,granulomatous enteritis",Crohn's disease
213,C0271166,"Nuclear senile cataract,Nuclear senile cataract (disorder)",Nuclear senile cataract
214,C0014511,"Epidermal cyst,Epidermal cyst,Epidermal cyst,Epidermoid cyst,Epidermoid cyst,Epidermoid cyst,Epidermoid cyst (disorder),Epidermoid cyst (morphologic abnormality),Epidermoid cyst of skin,Epidermoid cyst of skin (disorder),Keratin cyst,Keratinising cyst,Keratinising cyst,Keratinising cyst of skin,Keratinizing cyst,Keratinizing cyst,Keratinizing cyst (disorder),Keratinizing cyst (morphologic abnormality),Keratinizing cyst of skin,Keratinizing cyst of skin (disorder),Sebaceous cyst,Sebaceous cyst,Sebaceous cyst (morphologic abnormality)",Epidermoid cyst
215,C0014511,"Epidermal cyst,Epidermal cyst,Epidermal cyst,Epidermoid cyst,Epidermoid cyst,Epidermoid cyst,Epidermoid cyst (disorder),Epidermoid cyst (morphologic abnormality),Epidermoid cyst of skin,Epidermoid cyst of skin (disorder),Keratin cyst,Keratinising cyst,Keratinising cyst,Keratinising cyst of skin,Keratinizing cyst,Keratinizing cyst,Keratinizing cyst (disorder),Keratinizing cyst (morphologic abnormality),Keratinizing cyst of skin,Keratinizing cyst of skin (disorder),Sebaceous cyst,Sebaceous cyst,Sebaceous cyst (morphologic abnormality)",Epidermoid cyst of skin
216,C0340044,"Acute exacerbation of COPD,Acute exacerbation of chronic obstructive airways disease,Acute exacerbation of chronic obstructive airways disease (disorder),Acute exacerbation of chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease with (acute) exacerbation",Acute exacerbation of chronic obstructive airways disease
217,C0271468,"Auditory tube disorder,Disease of Eustachian tube,Disorder of Eustachian tube,Dysfunction of eustachian tube,Dysfunction of eustachian tube (disorder),ET - Eustachian tube disorder,ETD - Eustachian tube dysfunction,Eustachian tube disorder,Eustachian tube disorder (disorder),Eustachian tube dysfunction,Unspecified Eustachian tube disorder,Unspecified Eustachian tube disorder, unspecified ear",Eustachian tube disorder
218,C0271468,"Auditory tube disorder,Disease of Eustachian tube,Disorder of Eustachian tube,Dysfunction of eustachian tube,Dysfunction of eustachian tube (disorder),ET - Eustachian tube disorder,ETD - Eustachian tube dysfunction,Eustachian tube disorder,Eustachian tube disorder (disorder),Eustachian tube dysfunction,Unspecified Eustachian tube disorder,Unspecified Eustachian tube disorder, unspecified ear",Dysfunction of eustachian tube
219,C0265034,"Internal haemorrhoid,Internal haemorrhoids,Internal hemorrhoid,Internal hemorrhoids,Internal hemorrhoids (disorder)",Internal hemorrhoids
220,C0740858,"Harmful substance use,Nondependent abuse of substance,Substance abuse,Substance abuse (disorder)",Substance abuse
221,C0027962,"Melanocytic naevus,Melanocytic naevus,Melanocytic nevi,Melanocytic nevi, unspecified,Melanocytic nevus,Melanocytic nevus,Melanocytic nevus (disorder),Mole,Naevus,Nevus,Pigmented naevus,Pigmented nevus,Pigmented nevus, no ICD-O subtype,Pigmented nevus, no International Classification of Diseases for Oncology subtype,Pigmented nevus, no International Classification of Diseases for Oncology subtype (morphologic abnormality),nevus NOS",Melanocytic nevus
222,C0004763,"BO - Barrett's oesophagus,Barrett esophagus,Barrett's disease,Barrett's esophagus,Barrett's esophagus,Barrett's esophagus (disorder),Barrett's esophagus NOS,Barrett's oesophagus,Barrett's syndrome,Barrett's syndrome,Barretts esophagus,CELLO - Columnar epithelial-lined lower esophagus,CELLO - Columnar epithelial-lined lower oesophagus,CLE - Columnar-lined esophagus,CLE - Columnar-lined oesophagus,Columnar epithelial-lined lower esophagus,Columnar epithelial-lined lower oesophagus,Columnar-lined esophagus,Columnar-lined oesophagus,Gastric metaplasia of esophagus,Gastric metaplasia of oesophagus",Barrett's esophagus
223,C0007820,"CVD - Cerebrovascular disease,Cerebrovascular disease,Cerebrovascular disease (disorder),Cerebrovascular disease, unspecified,Cerebrovascular diseases (I60-I69),Cerebrovascular lesion",Cerebrovascular disease
224,C0025202,"MM - Malignant melanoma,Malignant melanoma,Malignant melanoma,Malignant melanoma (disorder),Malignant melanoma, no ICD-O subtype,Malignant melanoma, no International Classification of Diseases for Oncology subtype,Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality),Melanoma,Melanosarcoma",Malignant melanoma
225,C0016436,"Folliculitis,Folliculitis (disorder),Hair follicle inflammation,Hair follicle inflammation (morphologic abnormality)",Folliculitis
226,C0026267,"Asynchronous valve closure syndrome,Barlow's syndrome,Click syndrome,Click-murmur syndrome,Floppy valve syndrome,J.B. Barlow syndrome,J.B. Barlow's syndrome,J.B. Barlow's syndrome (disorder),MVP - Mitral valve prolapse,Mitral valve posterior leaflet prolapse,Mitral valve prolapse,Mitral valve prolapse (disorder),Mitral valve prolapse syndrome,Mitral valve prolapse, posterior leaflet",Mitral valve prolapse
227,C0524910,"Chronic hepatitis C,Chronic hepatitis C (disorder),Chronic type C viral hepatitis,Chronic viral hepatitis C",Chronic hepatitis C
228,C0020490,"Farsightedness,Hypermetropia,Hypermetropia,Hypermetropia (disorder),Hyperopia,Longsighted,Longsightedness",Hypermetropia
229,C0014175,"Endometriosis,Endometriosis,Endometriosis,Endometriosis (clinical),Endometriosis (disorder),Endometriosis (morphologic abnormality),Endometriosis, unspecified",Endometriosis
230,C0393951,"CVA - cerebrovascular accident due to cerebral artery occlusion,Cerebrovascular accident due to cerebral artery occlusion,Cerebrovascular accident due to occlusion of cerebral artery,Cerebrovascular accident due to occlusion of cerebral artery (disorder)",Cerebrovascular accident due to occlusion of cerebral artery
231,C0085207,"Diabetes mellitus arising in pregnancy,Diabetes mellitus arising in pregnancy,GDM,GDM - Gestational diabetes mellitus,Gestational diabetes,Gestational diabetes mellitus,Gestational diabetes mellitus,Gestational diabetes mellitus (disorder),Gestational diabetes mellitus NOS,Maternal gestational diabetes mellitus",Gestational diabetes mellitus
232,C0023890,"CL - Cirrhosis of liver,Cirrhosis (of liver) NOS,Cirrhosis of liver,Cirrhosis of liver (disorder),Hepatic cirrhosis",Cirrhosis of liver
233,C0018674,"HI - Head injury,Head injury,Head injury NOS,Injuries to the head (S00-S09),Injury of head,Injury of head (disorder),Injury of head region,Unspecified injury of head",Injury of head
234,C0011175,"Dehydration,Dehydration,Dehydration (disorder),Pure water depletion syndrome",Dehydration
235,C0019348,"Herpes simplex,Herpes simplex (disorder),Herpes simplex complex,Herpes simplex infection,Herpes simplex infection NOS,Herpes simplex viral infection,Herpesviral [herpes simplex] infections",Herpes simplex
236,C0016658,"Broken bone,Fracture,Fracture,Fracture (morphologic abnormality),Fracture NOS,Fracture of bone,Fracture of bone (disorder)",Fracture of bone
237,C0262617,"RIH - Right inguinal hernia,Right inguinal hernia,Right inguinal hernia (disorder)",Right inguinal hernia
238,C0001546,"Adjustment disorder,Adjustment disorder (disorder),Adjustment disorder, unspecified,Adjustment disorders,Brief situational non-psychotic disorder",Adjustment disorder
239,C0040259,"Athlete's foot,Athlete's foot,Dermatophytosis of foot,Dermatophytosis of foot,Epidermophytosis pedis,Foot ringworm,Ringworm of foot,TP - Tinea pedis,Tinea pedis,Tinea pedis,Tinea pedis (disorder)",Tinea pedis
240,C0003507,"Aortic valve stenosis,Aortic valve stenosis (disorder),Stenosed aortic valve,Stenosis of aorta",Aortic valve stenosis
241,C0019163,"Hepatitis B,Hepatitis B infection,SH - Serum hepatitis,Serum hepatitis,Type B viral hepatitis,Viral hepatitis type B,Viral hepatitis type B (disorder)",Viral hepatitis type B
242,C0019322,"Umbilical hernia,Umbilical hernia,Umbilical hernia (disorder),Umbilical hernia NOS",Umbilical hernia
243,C0027343,"Embedded toenail,IGTN - Ingrowing toenail,Ingrowing nail,Ingrowing nail,Ingrowing nail (disorder),Ingrowing toenail,Ingrowing toenail (disorder),Ingrown nail,Ingrown toenail,OC - Onychocryptosis,Onychocryptosis,Onyxis,Unguis aduncus,Unguis incarnatus",Ingrowing nail
244,C0027343,"Embedded toenail,IGTN - Ingrowing toenail,Ingrowing nail,Ingrowing nail,Ingrowing nail (disorder),Ingrowing toenail,Ingrowing toenail (disorder),Ingrown nail,Ingrown toenail,OC - Onychocryptosis,Onychocryptosis,Onyxis,Unguis aduncus,Unguis incarnatus",Ingrowing toenail
245,C0018021,"Enlargement of thyroid,Goiter,Goiter (disorder),Goiter NOS,Goitre,Struma - goiter,Struma - goitre,Struma of thyroid,Swelling of thyroid gland,Thyroid enlargement,Thyroid goiter,Thyroid goitre,Thyromegaly",Goiter
246,C0153690,"Bony metastasis,Cancer metastatic to bone,Metastatic malignant neoplasm to bone,Metastatic tumor of bone,Metastatic tumour of bone,Osseous metastasis,Secondary cancer of bone,Secondary malignant neoplasm of bone,Secondary malignant neoplasm of bone,Secondary malignant neoplasm of bone (disorder),Secondary malignant neoplasm of bone and bone marrow,Secondary malignant neoplasm of bone and bone marrow,Tumor metastatic to bone,Tumour metastatic to bone",Secondary malignant neoplasm of bone
247,C0034067,"Emphysema,Emphysema (lung)(pulmonary) NOS,Emphysema of lung,Emphysema, unspecified,Pulmonary emphysema,Pulmonary emphysema (disorder)",Pulmonary emphysema
